title,location,price,flat area,flat status,year old,no. of bathrooms,description
2 BHK Apartment for sale,Nala Sopara Mumbai,4700000,890,Ready to move,0 - 1 year old,1 Bathrooms,"2 BHK Property for sale in Nala Sopara Mumbai:A spacious 2 bhk multistorey apartment is available for sale in Om Sai Developer Mumbai Maruti Complex, Nala Sopara, Mumbai. It has a built-up area of 890 sqft and is priced at Rs. 47.00 lac . The hou...Developed by Om Sai Developer Mumbai"
2 BHK Apartment for sale,Nala Sopara Mumbai,4300000,846,Ready to move,0 - 1 year old,2 Bathrooms,"2 BHK Property for sale in Nala Sopara Mumbai:Well designed 2 bhk multistorey apartment is available at a prime location in Dudhwala Group Ayan Residency Phase 1. It has a salable area of 846 sqft and is available at a price of Rs. 5,082 per sqft...Developed by Dudhwala Group"
1 BHK Apartment for sale,Nala Sopara Mumbai,3200000,580,Ready to move,4 - 5 years old,2 Bathrooms,"1 BHK Property for sale in Nala Sopara Mumbai:Best 1 BHK Apartment for modern-day lifestyle is now available for sale. Grab this 1 BHK property for sale in one of Mumbai's top location, Nalasopara East. It is situated on floor 4. The total number...Developed by Anchor Realty"
1 BHK Apartment for sale,Nala Sopara Mumbai,2850000,610,Ready to move,3 - 4 years old,1 Bathrooms,"1 BHK Property for sale in Nala Sopara Mumbai:This spacious 1 bhk multistorey apartment is available for sale and is located in Topaz Homes Heights, one of the most prestigious projects of Nala Sopara. It has a built-up area of 610 sqft and is pr...Developed by Topaz Homes"
1 BHK Apartment for sale,Nala Sopara Mumbai,3000000,580,Ready to move,3 - 4 years old,1 Bathrooms,"1 BHK Property for sale in Nala Sopara Mumbai:It is a semi-furnished property. It is a 3 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke...Developed by Topaz Homes"
1 BHK Apartment for sale,Nala Sopara Mumbai,3400000,660,Ready to move,9 - 10 years old,2 Bathrooms,"1 BHK Property for sale in Nala Sopara Mumbai:Itâs a 1 bhk multistorey apartment situated in Reliable Homemakers Heights, Nala Sopara. It has an area of 660 sqft with a carpet area of 520 sqft . The property is available at a price of Rs. 34.00 l...Developed by Reliable Homemakers"
1 BHK Apartment for sale,Nala Sopara Mumbai,3300000,600,Ready to move,2 - 3 years old,1 Bathrooms,"1 BHK Property for sale in Nala Sopara Mumbai:Itâs a 1 bhk multistorey apartment situated in Rashmi Housing Classic, Nala Sopara. It has an area of 600 sqft with a carpet area of 400 sqft . The property is available at a price of Rs. 33.00 lac . ...Developed by Rashmi Housing"
1 BHK Apartment for sale,Nala Sopara Mumbai,3000000,665,Ready to move,3 - 4 years old,2 Bathrooms,1 BHK Property for sale in Nala Sopara Mumbai:It has a built-up area of 665 sqft and is priced at Rs. 30.00 lac . The house is semi-furnished. It is a 3 year old ready-to-move-in property. It is made in way to provide a comfortable living. It is ...Developed by Shree Siddhivinayak Realtors
1 BHK Apartment for sale,Nala Sopara Mumbai,3600000,640,Ready to move,3 - 4 years old,2 Bathrooms,"1 BHK Property for sale in Nala Sopara Mumbai:Itâs a 1 bhk multistorey apartment situated in Shree Siddhivinayak Realtors Heights, Nala Sopara, Mumbai. It has a built-up area of 640 sqft and is priced at Rs. 36.00 lac . It is east facing property...Developed by Shree Siddhivinayak Realtors"
1 BHK Apartment for sale,Nala Sopara Mumbai,2500000,595,Ready to move,6 - 7 years old,2 Bathrooms,"1 BHK Property for sale in Nala Sopara Mumbai:This spacious 1 bhk multistorey apartment is available for sale and is located in Sai Shakti Om Sai Heights II All Towers, one of the most prestigious projects of Nala Sopara. It has an area of 595 sq...Developed by Sai Shakti"
1 BHK Apartment for sale,Nala Sopara Mumbai,3050000,585,Ready to move,6 - 7 years old,1 Bathrooms,1 BHK Property for sale in Nala Sopara Mumbai:Well designed 1 bhk multistorey apartment is available at a prime location in SB Lifespaces Sandeep Heights. The house is unfurnished. It is made in way to provide a comfortable living for the residen...Developed by SB Lifespaces
1 BHK Apartment for sale,Nala Sopara Mumbai,2500000,620,Ready to move,9 - 10 years old,1 Bathrooms,"1 BHK Property for sale in Nala Sopara Mumbai:Well designed 1 bhk multistorey apartment is available at a prime location in Sai Crystal Homes Orange Heights. It has a salable area of 620 sqft and is available at a price of Rs. 4,032 per sqft. It ...Developed by Sai Crystal Homes"
