title,location,price,flat area,flat status,year old,no. of bathrooms,description
1 BHK Apartment for sale,Vasai Mumbai,3450000 ,668 ,Under Construction,None,2 Bathrooms,1 BHK Property for sale in Vasai Mumbai:Well designed 1 bhk multistorey apartment is available at a prime location in AVA Lifespaces Sereno. It has an area of 668 sqft with a carpet area of 446 sqft . The property is available at a price of...Developed by AVA Lifespaces
1 BHK Apartment for sale,Vasai Mumbai,3700000 ,600 ,Under Construction,None,1 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:This spacious 1 bhk multistorey apartment is available for sale and is located in PIL Developers Tower, one of the most prestigious projects of Vasai. It has a salable area of 600 sqft and is availabl...Developed by PIL Developers"
1 BHK Apartment for sale,Vasai Mumbai,3500000 ,530 ,Under Construction,None,1 Bathrooms,1 BHK Property for sale in Vasai Mumbai:The house is unfurnished. Its main door is facing west direction. It is an under-construction property . It is made in way to provide a comfortable living. The society is well connected by different m...Developed by Welcast Construction Company
1 BHK Apartment for sale,Vasai Mumbai,5550000 ,444 ,Ready to move,None,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:It has a salable area of 444 sqft and is available at a price of Rs. 12,500 per sqft. The house is unfurnished. This residential property is ready-to-move-in. It is made in way to provide a comfortabl...Developed by Sai Shram Associates"
2 BHK Apartment for sale,Vasai Mumbai,4800000 ,780 ,Ready to move,None,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:Well designed 2 bhk multistorey apartment is available at a prime location in JSB JSB Nakshatra Veda. It has a salable area of 780 sqft and is available at a price of Rs. 6,153 per sqft. The house is ...Developed by JSB"
3 BHK Apartment for sale,Vasai Mumbai,7000000 ,1000 ,Ready to move,13 - 14 years old,3 Bathrooms,"3 BHK Property for sale in Vasai Mumbai:Well designed 3 bhk multistorey apartment is available at a prime location in Agarwal Nagri. It has a salable area of 1000 sqft and is available at a price of Rs. 7,000 per sqft. It is a semi-furnishe...Developed by Agarwal"
1 BHK Apartment for sale,Vasai Mumbai,3400000 ,650 ,Ready to move,None,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:This spacious 1 bhk multistorey apartment is available for sale and is located in Shantee Realty And Life Space Marvel Heights, one of the most prestigious projects of Vasai. It has an area of 650 sqf...Developed by Shantee Realty And Life Space"
1 BHK Apartment for sale,Vasai Mumbai,4200000 ,700 ,Ready to move,None,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Itâs a 1 bhk multistorey apartment situated in JSB JSB Nakshatra Veda, Vasai. It has an area of 700 sqft with a carpet area of 430 sqft . The property is available at a price of Rs. 42.00 lac . It is ...Developed by JSB"
2 BHK Apartment for sale,Vasai Mumbai,5400000 ,868 ,Under Construction,None,2 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:Well designed 2 bhk multistorey apartment is available at a prime location in JSB Nakshatra Aazstha. It has a salable area of 868 sqft and is available at a price of Rs. 6,221 per sqft. The house is u...Developed by JSB"
2 BHK Apartment for sale,Vasai Mumbai,8500000 ,1050 ,Ready to move,10 - 11 years old,1 Bathrooms,"2 BHK Property for sale in Vasai Mumbai:Itâs a 2 bhk multistorey apartment situated in Rajhans Group Dreams, Vasai. It has an area of 1050 sqft . The property is available at a price of Rs. 85.00 lac . This residential property is ready-to-...Developed by Rajhans Group"
1 BHK Apartment for sale,Vasai Mumbai,3250000 ,610 ,Under Construction,None,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:Itâs a 1 bhk multistorey apartment situated in Shellproof Realty Gladiolus Tower, Vasai, Mumbai. It has an area of 610 sqft with a carpet area of 420 sqft . The property is available at a price of Rs....Developed by Shellproof Realty"
1 BHK Apartment for sale,Vasai Mumbai,5500000 ,700 ,Under Construction,None,2 Bathrooms,"1 BHK Property for sale in Vasai Mumbai:A spacious 1 bhk multistorey apartment is available for sale in Nutan Construction Co Shree Ganesh Krupa Residency, Vasai, Mumbai. It has an area of 700 sqft with a carpet area of 450 sqft . The prope...Developed by Nutan Construction Co"
3 BHK Apartment for sale,Vasai Mumbai,10000000 ,1150 ,Ready to move,3 - 4 years old,3 Bathrooms,"3 BHK Property for sale in Vasai Mumbai:This spacious 3 bhk multistorey apartment is available for sale and is located in Sai Siddhant Enterprises Palace, one of the most prestigious projects of Vasai. It has a built-up area of 1150 sqft an...Developed by Sai Siddhant Enterprises"
3 BHK Apartment for sale,Vasai Mumbai,8000000 ,1150 ,Ready to move,None,1 Bathrooms,"3 BHK Property for sale in Vasai Mumbai:Itâs a 3 bhk multistorey apartment situated in Sanskruti Appartment, Vasai, Mumbai. It has a built-up area of 1150 sqft and is priced at Rs. 80.00 lac . The house is furnished. It is facing east direc...Developed by Reputed Builder"
